" Характеристика"	" Тип"	"Группа"	"Прогноз"	"Значение списка"	"ИзРукВРуки поле"	"ИзРукВРуки - парсер"	"Услуга"	"Жилое, Квартира"	"Жилое,Комната"	"Жилое,Дом"	"Жилое, Участок"	"Коммерческое,Квартира"	"Коммерческое,Помещение"	"Коммерческое,Здание"	"Другое,Гараж"
" Наличие подсобных помещений"	"bool"	"Дополнительные"											"*"	"*"	
" Наличие окон"	"bool"	"Дополнительные"											" *"		
" Возможность наружной рекламы"	"bool"	"Дополнительные"										" *"	"*"	" *"	
" Наличие лифта"	"bool"	"Дополнительные"			"Есть ли лифт"								" *"	" *"	
"Тип аренды"	"list"	"Основные"		"Долгосрочная, Краткосрочная, Помесячная, Посуточная"	"Тип аренды"	"долгосрочная аренда:Долгосрочная, посуточная:Посуточная"	"Аренда"	"*"	"*"	"*"	"*"	"*"	"*"	"*"	"*"
"Комнат продается"	"list"	"Дополнительные"	1	"1:0,2:1,3:2,4:2,5:3,6 и более:4"	"Комнат продается"	"1:1,2:2,3:3,4:4,5:5,6:6 и более,\d+:6 и более"	"Продажа"	"*"							
"Комнат сдается"	"list"	"Дополнительные"	1	"1:0,2:1,3:2,4:2,5:3,6 и более:4"	"Комнат сдаётся"	"1:1,2:2,3:3,4:4,5:5,6:6 и более,\d+:6 и более"	"Аренда"	"*"							
"Количество соседей"	"int"	"Дополнительные"			"Количество соседей;Соседей в квартире"		"Аренда"	"*"	"*"						
"До остановки, минут"	"int"	"Дополнительные"			"До метро, минут"			"*"	"*"	"*"	"*"	"*"	"*"	"*"	"*"
"Тип вентиляции"	"string"	"Дополнительные"			"Тип вентиляции"										
"Возможность ипотеки"	"bool"	"Оплата"			"Возможна ипотека"		"Продажа"	"*"	"Лет в собственности"	"*"	"*"				
"Лет в собственности"	"int"	"Дополнительные"			"Лет в собственности"		"Продажа"	"*"	"*"	"*"	"*"				
"Вид из окна"	"string"	"Дополнительные"			"Вид из окна"		"Продажа"	"*"	"*"	"*"	"*"				
"Планируется снос"	"bool"	"Дополнительные"			"Планируется снос"		"Продажа"	"*"	"*"						
"Серия дома"	"string"	"Дополнительные"			"Серия дома"		"Продажа"	"*"	"*"	"*"					
"Перекрытия"	"list"	"Дополнительные"		"Плиты,Железобетон,Другое"	"Межэтажные и межкомнатные перекрытия"	"плиты:Плиты,ж/б:Железобетон,.+:Другое"	"Продажа"	"*"	"*"	"*"					
"Населенный пункт"	"list"	"Основные"	1	"Город:5,Коттеджный поселок:5,Деревня:2,Садовое товарищество:0,Другое:0"	"Населенный пункт;В городе"	"Город:Город,Коттеджный поселок:Коттеджный поселок,Поселок:Деревня,Село:Деревня,Деревня:Деревня,Садовое товарищество:Садовое товарищество,Другое:Другое,.*:Город"				"*"	"*"				
"Возможно ПМЖ"	"bool"	"Дополнительные"	1		"Возможно ПМЖ"		"Продажа"			"*"	"*"				
"Удаленность от города"	"int"	"Дополнительные"			"Удаленность от города"					"*"	"*"				
"Водопровод"	"bool"	"Дополнительные"	1		"Водопровод"					"*"	"*"				
"Наличие гаража"	"bool"	"Дополнительные"	1		"Гараж"					"*"					
"Продажа доли"	"bool"	"Дополнительные"			"Продажа доли;Размер доли"					"*"	"*"				
"Мусоропровод"	"bool"	"Дополнительные"			"Мусоропровод"			"*"		"*"	"*"				
"Назначение земли"	"list"	"Основные"	1	"Садовое:0,ИЖС:10,Коммерческое:10"	"Назначение земли"	"ИЖС:ИЖС,Дачный участок 3000:Садовое,Коммерческое использование:Коммерческое"					"*"				
"Постройки"	"string"	"Дополнительные"			"Постройки"						"*"				
"В собственности более 3-х лет"	"bool"	"Дополнительные"			"В собственности более 3-х лет"			"*"							
